total_to_anom,total_from_anom,total_other,total_added,total_deleted
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,69
21,15,134,340,69
21,15,134,340,69
21,15,134,340,69
21,15,134,340,69
21,14,134,338,68
21,14,134,338,68
21,14,134,338,68
21,14,137,344,68
21,14,137,344,68
22,16,137,350,69
22,16,137,350,69
22,16,137,350,69
22,16,137,350,69
22,16,137,350,69
22,16,137,350,69
22,16,138,352,70
22,16,138,352,70
21,14,134,338,68
21,14,134,338,68
21,14,134,338,68
21,14,134,338,68
21,14,134,338,69
21,14,134,338,69
21,14,134,338,69
21,14,134,338,69
21,14,134,338,69
21,14,134,338,69
21,14,134,338,69
21,14,134,338,69
21,14,134,338,69
21,14,134,338,69
21,14,136,342,70
22,14,135,342,71
22,14,135,342,71
22,14,135,342,71
22,14,132,336,68
22,14,132,336,68
22,14,132,336,68
22,14,133,338,68
22,14,132,336,68
22,14,132,336,68
22,14,132,336,68
22,14,132,336,68
22,14,132,336,68
22,14,132,336,68
21,14,132,334,68
21,14,132,334,68
21,14,130,330,67
21,14,130,330,67
21,14,130,330,67
21,14,129,328,65
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,69
21,15,134,340,69
21,15,134,340,69
21,15,134,340,69
21,15,134,340,68
21,15,134,340,68
21,15,134,340,69
21,15,134,340,69
21,15,134,340,69
21,15,134,340,69
21,15,134,340,69
21,15,134,340,69
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,134,340,68
21,15,135,342,68
21,15,135,342,68
21,15,135,342,68
21,15,135,342,70
22,15,135,344,70
22,15,135,344,70
22,15,135,344,70
22,15,135,344,70
22,15,135,344,70
22,15,135,344,70
22,15,135,344,70
22,15,135,344,70
22,15,135,344,69
21,15,135,342,69
21,15,135,342,69
21,15,135,342,69
22,15,135,344,69
22,15,135,344,70
22,15,135,344,70
22,15,134,342,70
22,15,134,342,70
22,15,133,340,70
22,15,133,340,70
22,15,133,340,70
22,15,133,340,70
22,15,133,340,70
22,15,133,340,70
22,15,133,340,70
22,15,133,340,70
22,15,133,340,70
22,15,133,340,70
22,15,133,340,70
22,15,133,340,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
22,15,133,680,70
